bills_M7_bad
"1. Critical Infrastructure Protection
2. Cybersecurity
"1. Transportation Extension Act
2. Funding Programs
3. Surface Transportation"
"1. Stillbirth
2. Awareness
3. Research"
"1. Ph.D.s
2. Economy
3. Immigration"
"1. Servicemember
2. Foreclosure
3. Protection"
"1. Transportation
2. DOD aircraft
3. Retired pay"
"1. Trafficking Victims Protection
2. Passport Limitation
3. Child Marriage Prevention"
"1. Veterans
2. Identity Protection
3. Claims"
"1. Social Security Administration
2. Death Records
3. Improper Payments"
"1. Health Care Fraud
2. Seniors Protection
3. Annual Report"
"1. Liability Reform Act
2. Punitive Damages
3. Small Business Liability"
"1. Housing Opportunity Through Modernization Act of 2016
2. Public Housing
3. Rental Assistance"
"1. Small Brewer
2. Reinvestment
3. Expanding Workforce"
"1. Polar Bear
2. Conservation
3. Importation"
"1. Fuel Efficient Fleets
2. Alternative Fueled Vehicles
3. Energy Policy"
"1. Tariff Schedule
2. Equipment
3. Suspension"
"1. Flight Attendant Fatigue
2. Aviation Safety
3. Workplace Fairness"
"1. Veterans Act
2. Health Care
3. Wait Time"
"1. Veterans' Education
2. College Affordability
3. GI Bill"
"1. Amends
2. Harmonized
3. Tariff"
"1. CFPB-IG Act of 2015
2. Dodd-Frank Wall Street Reform and Consumer Protection Act
3. In"
"1. Tariff
2. Suspension
3. Duty"
"1. Chemical Facility Security
2. Homeland Security
3. Terrorist Acts"
"1. Funding
2. Immigration
3. Policing"
"1. 5-Cent Coin
2. Restoration Act
3. Treasury Authority"
"1. Digital TV Transition
2. Public Safety
3. Communications Equipment"
"1. Forest Service
2. Administrative Review
3. Land Management"
"1. Medicare
2. Prescription Drug
3. Territories"
"1. Small Business Information Security
2. Credit Card Data Prevention
3. SBA Website Establishment"
"1. National Park Service
2. Related Programs
3. Conforming Changes"
"1. Tuna Products
2. Containers
3. Safety"
"1. Data Center Inventory
2. Consolidation Plan
3. Cloud Computing Security"
"1. Navy
2. Marine Corps
3. Redesignation"
"1. Agriculture
2. Exemptions
3. Transportation"
"1. Learning
2. Educating
3. Achieving"
"1. Digital Television Transition
2. Public Safety Act
3. Communications Equipment"
"1. Realignment
2. Closure
3. Evaluation"
"1. Congressional Gold Medal
2. United States Cadet Nurse Corps
3. Smithsonian Institution"
"1. School Environment Protection Act
2. Integrated Pest Management
3. Pesticide Regulation"
"1. Emergency Unemployment Compensation
2. Extension Act
3. Unemployment Benefits"
"1. IRS Culture Act
2. EPIC Act
3. Federal Personnel Law"
"1. Lower East Side
2. Tenement
3. Historic Site"
"1. Coal Jobs Act of 2013
2. Clean Water Act
3. Environmental Review Requirements"
"1. Investments
2. Manufacturing
3. Clean Technology"
"1. Veterans' Identity
2. Theft Protection
3. Act of 2016"
"1. Genetically Engineered Salmon
2. Labeling Act
3. Environmental Assessment"
"1. Drilling and Production
2. Compliance
3. Penalties"
"1. Military Personnel
2. War Zone
3. Toxic Exposure"
"1. Small Business Lending
2. Entrepreneurs
3. Underserved Populations"
"1. Hunger Relief
2. Trucking
3. Tax Credit"
"1. Bill
2. Transfer
3. Land"
"1. Energy and Infrastructure Jobs
2. Offshore Oil and Gas Leasing
3. Coastal Revenue Allocation"
"1. Energy Conservation
2. Battery Chargers
3. External Power Supplies"
"1. Schedules
2. Employment
3. Rights"
"1. National Strategy
2. Combating Terrorist Financing
3. Illicit Finance"
"1. Pharmaceutical
2. Import
3. Act"
"Tax Cut
Job Creation
Charity"
"1. Immigrant Voice Act
2. Amendments
3. Immigration Law"
"1. Health Care
2. Claims
3. Transition"
"1. Sex Education
2. Health
3. Youth"
"1. Vehicle Innovation
2. Energy Efficiency
3. Transportation Technology"
"1. Windfall Energy
2. Alternatives
3. Nation"
"1. Credit Card Accountability
2. Consumer Protection
3. Credit Card Fees and Interest"
"1. Interior
2. Environment
3. Appropriations"
"1. National Historical Park
2. Boundary Revision
3. Colonel James Barrett Farm"
"1. Nurse-to-Patient Ratios
2. Patient Advocacy
3. Nurse Education and Experience"
"1. Commission
2. Denali
3. Act"
"1. Spending
2. Safeguard
3. Act"
"1. Chiropractic Care
2. Veterans
3. Health Care"
"1. Securities Litigation
2. Attorney Accountability
3. Transparency Act"
"1. Midnight Rule
2. Relief Act
3. Prohibition"
"1. Northern Border
2. Commerce Protection
3. Act Amendment"
"1. Gun Control
2. Child Safety
3. Sex Offenders"
"1. FMLI
2. Social Security
3. Tax"
"1. Grazing
2. Permits
3. Land Management"
"1. Textbook Affordability
2. Transparency Act
3. Course Schedules"
"1. Child Care
2. Criminal Background Check
3. Act of 2009"
"
1. Food
2. Conservation
3. Energy"
"1. Iraqi Ally
2. Refugee Responsibility
3. U.S. Assistance"
"1. FERC hearings
2. Land use
3. Public involvement"
"1. Homebuyer tax credit
2. Extension of credit
3. Armed Forces relocation"
"1. Health Insurance
2. Health Savings Accounts
3. Internal Revenue Code"
"1. Veterans
2. Housing
3. Benefits"
"1. Mental Health
2. Privacy
3. Training"
"1. Public-Private Act
2. Employee Retirement
3. Excluded Service"
"1. Equal Employment
2. Fair Credit Reporting
3. Employment Decisions"
"1. Tourette Syndrome
2. Research
3. NIH"
"1. Veterans Health and Benefits
2. Military Retirement Pay
3. VA Services"
"1. Rural Hospital
2. Fairness Act
3. Medicare"
"1. Camp Williams
2. Utah National Guard
3. Land Conveyance"
"1. Global Education
2. Nexus
3. Act"
"1. Veterans Affairs
2. Employee Accountability
3. Federal Acquisition Regulation"
"1. Land conservation
2. Forest Service
3. Agriculture programs"
"1. Federal Contracting Act
2. Buy American Requirements
3. Foreign Goods Acceptable"
"1. Parental Title Protection Act
2. Federal Agencies
3. Contractors and Government-Sponsored Enterprises"
"1. Apprenticeship
2. Tax Credit
3. Government Printing"
"1. Postal Service
2. Facility
3. St. Louis"
"1. Electric Vehicle
2. Charging Offers
3. Modern Utility"
"1. Video Service
2. Information Collection
3. Privacy"
"1. Tariff Schedule
2. Suspension
3. Duty"
"1. Credit Facility Review
2. Federal Reserve
3. Comptroller General"
"1. Water release
2. Endangered fish habitat
3. FY2013"
"1. Recycling
2. Investment
3. Energy"
"1. Bill Amendment
2. Federal Deposit Insurance Act
3. Asset Size"
"1. Military Construction
2. Procurement
3. State Funding"
"1. Military Construction
2. Veterans Affairs
3. Appropriations Act"
"1. Secret Ballot
2. Protection Act
3. Unfair Labor Practice"
"1. Conservation
2. Recreation
3. Park Services"
"1. Border Communities
2. Act of 2011
3. First Responders"
"1. Payments
2. Federal Law Enforcement
3. Public Debt"
"1. Maternity Care
2. Health Professional Shortage
3. HRSA"
"1. Student Assistance
2. Higher Education Act
3. Federal Direct Loans"
"1. Transparency
2. Airfares
3. Act"
"1. Commodity Exchange Act
2. Securities Exchange Act
3. Dodd-Frank Act"
"1. Medicaid
2. Drug Pricing
3. Health Clinics"
"1. Livestock Reporting
2. Wholesale Pork
3. Dairy Reporting"
"1. Foreign Business
2. Bribery Prohibition
3. Act of 2011"
"1. Small Business Competition Act
2. Procurement Center
3. Solicitation Review"
"1. Sequester
2. Replacement
3. Act"
"1. Ethics
2. Government
3. Mortgage"
"1. Health Insurance
2. Legislation
3. Federal Employees"
"1. Tax Code
2. Residences
3. Exclusions"
"1. Conference Report
2. Federal Agency
3. Travel Expenses"
"1. Forestry Act
2. Restoration
3. Protection"
"1. Lead Poisoning
2. Reduction Act
3. Child Protection"
"1. Justice
2. Integrity
3. Act"
"1. Firearms
2. Appropriations
3. Restrictions"
"1. Controlled Substances Act
2. Intrathecal pump
3. Professional practice"
"1. Voter Confidence
2. Accessibility
3. Election Audits"
"1. Pulmonary Hypertension
2. Research
3. Education"
"1. Student Loan Fairness Act
2. Loan Repayment Plan
3. Loan Forgiveness"
"1. HIPAA
2. Injury
3. Technical Correction"
"1. Indian Education
2. Bureau of Indian Education
3. Indian Education Agency"
"1. Adoption Tax Credit
2. Adoption Assistance Programs
3. Internal Revenue Code"
"1. Health Insurance Industry
2. Antitrust Enforcement
3. Price Fixing"
"1. VA Patient Protection Act
2. Whistle Blower Complaints
3. Supervisor Actions"
"1. Cost of War
2. Afghanistan
3. Iraq"
"1. Fair Elections
2. Communications Act
3. Federal Election Campaign Act"
"1. Arkansas Valley Conduit Act
2. Fryingpan-Arkansas project
3. Water rates adjustment"
"1. Procurement
2. Competition
3. Government"
"1. Nuclear Forensics
2. Attribution
3. International Agreements"
"1. Tax Credit
2. Research Expenditures
3. Energy Technology"
"1. Act
2. Exempt
3. Condo"
"1. Patents
2. Disclosure
3. Damages"
"1. Alpine Lakes Wilderness
2. Pratt and Middle Fork Snoqualmie Rivers
3. Wilderness Preservation System"
"1. Gideon's Promise Act
2. Criminal Justice System
3. Indigent Defendants"
"1. Clean Energy
2. Investment Act
3. Renewable Resources"
"1. Violence Against Women
2. Indian Women's Safety
3. Indian Law and Order"
"1. GRIDD Act
2. Medical-Vocational Guidelines
3. Social Security Rules"
"1. Enforcing Orders
2. Reducing Customs Evasion
3. Customs Duties"
"1. Poison Center Network Act
2. Reauthorization
3. Communications and Response Capability"
"1. Impact Aid
2. Federal Property
3. Education Funding"
"1. Tariff Schedule
2. Acrylic Staple Fibers
3. Duty Suspension"
"1. Oil Spill
2. Victims Redress
3. Amends Act"
"1. Flood Insurance
2. Affordability
3. Community-based Insurance"
"1. Jerusalem
2. Diplomacy
3. Birth Certificate"
"1. National Infrastructure Development Bank
2. Infrastructure Projects
3. American Infrastructure Bonds"
"1. Citizenship
2. Act
3. Promotion"
"1. Fish Stocking
2. National Park
3. Research and Monitoring"
"1. Firearms
2. Commerce
3. Reform"
"1. American Heroes
2. Homeownership
3. Assistance Act"
"1. Water
2. Energy
3. Waste"
"1. Federal Shipping Law
2. Exemption
3. Vessel Construction"
"1. Military
2. Transportation
3. Remains"
"1. Hospital Outcomes Act
2. Medicare Payment Adjustments
3. Potentially Avoidable Outcomes"
"1. Fair Judicial Compensation Act
2. Increases Salaries
3. Bankruptcy Code Amendment"
"1. Tariff Schedule
2. Tirebuilding Machines
3. Extra-Wide Tires"
"1. Energy
2. Infrastructure
3. Leasing"
"1. Firearm
2. Due Process
3. Protection Act"
"1. Family and Workplace Balancing Act of 2007
2. Family Income to Respond to Significant Transitions Act
3. Health"
"1. Oil Pollution Act
2. Coast Guard
3. Deepwater Horizon"
"1. TANF
2. Research
3. Clearinghouse"
"1. LTCH Technical Correction Act
2. Medicare Payment System
3. High Cost Outlier Payments"
"1. Advance Care Planning
2. Health Care
3. Telemedicine"
"1. Military Health Care
2. Protection Act
3. Retired Pay"
"1. Disaster Relief
2. Small Business
3. Assistance Act"
"1. Tariff Schedule
2. Women's Boots
3. Duty Suspension"
"1. Retirement Savings
2. Access Act
3. Unemployment Compensation"
"1. Agriculture
2. Cuba
3. Travel"
"1. Loan Extension
2. Credit Card Prohibition
3. Hardship Distribution"
"1. Debt Cancellation
2. International Aid
3. Humanitarian Aid"
"1. Sex Trafficking
2. Law Enforcement
3. Anti-Human Trafficking"
"1. Carbon Capture
2. Utilization
3. Storage"
"1. Homeland Security Act
2. Regulations
3. Cost-plus-award-fee contracts"
"1. Trade Agreement
2. Assessment Act
3. ITC Report"
"1. NCUA Budget
2. Transparency Act
3. Examination"
"1. Food, Drug, Cosmetic Act
2. Importation, Distribution, Sale
3. Terminally Ill Patients"
"1. Tax Credit
2. Energy Efficiency
3. Asphalt Roofs"
"1. Medicare
2. Adult Day Care
3. Services"
"1. Religious Freedom
2. Worker Rights
3. Labor Unions"
"1. Green Buildings
2. Environmental Education
3. School Site Acquisition"
"1. Senior Citizenship Act
2. Immigration
3. Naturalization"
"1. Temporary Closure of Public Land
2. Land Exchange with State of Utah
3. Hazardous Materials Remediation"
"1. Health Savings Accounts
2. Primary Care Medical Home
3. Medicare and Medicaid Innovation"
"1. Medical Facilities
2. Projects
3. Leases"
"1. Sacramento-San Joaquin Delta
2. National Heritage Area
3. Delta Protection Commission"
"1. Technology in Education
2. Grant Programs
3. Personalized Learning"
"1. Land-In-Trust
2. Compensation
3. Equitable"
"1. Tax Credit
2. Energy Storage
3. Grants"
"1. Human Trafficking Council
2. Federal Policy Review
3. Best Practices Assessment"
"1. FCC Commissioners
2. Technical Resource
3. Act Amendment"
"1. Streamlining
2. Savings
3. Whistleblower"
"1. Scofield Land Transfer Act
2. Trespass and Encroachment
3. Scofield Reservoir Fund"
"1. Paperwork
2. Small Business
3. Relief Act"
"1. Physical Therapy
2. Health Professional Shortage Areas
3. Locum Tenens Arrangements"
"1. Rural Housing
2. Loans
3. Subsidies"
"1. Safe Schools
2. Bullying Prevention
3. Grievance Procedures"
"1. Avalanche Protection
2. Research and Development
3. Weapons and Explosives"
"1. Anti-Spoofing Act
2. Caller ID
3. Text Messages"
"1. Paralysis Research
2. Paralysis Rehabilitation
3. Quality of Life for Persons with Disabilities"
"1. Patent Law
2. Tax Planning
3. Software"
"1. Federal Permitting Improvement Act of 2013
2. Covered Projects
3. Environmental Reviews"
"1. Clearing requirements
2. Affiliate disqualifications
3. Risk management"
"1. Military
2. Medical
3. Accountability"
"1. Women's Engagement
2. Military and Police Operations
3. Recruitment Act"
"1. Federal Land Inventory
2. Cadastre Development
3. Cost Sharing Agreements"
"1. Compassionate
2. Freedom
3. Choice"
"1. Education Technology
2. Grants
3. Professional Learning"
"1. Social Security Administration
2. Accountability Act
3. Budget Estimate"
"1. Service Animals
2. Discrimination
3. ADA Compliance"
"1. Shirley Chisholm
2. Congressional Gold Medal
3. Activism"
"1. Protect America Act
2. Extension
3. Authority"
"1. Veteran Benefits
2. Estate Payment
3. Secretary of Veterans Affairs"
"1. Energy
2. Security
3. Islamic State"
"1. Treason
2. Passport Revocation
3. Foreign Terrorist Organizations"
"1. Voting Rights
2. Act Reauthorization
3. Amendments"
"1. Medicare
2. Prescription Drugs
3. Beneficiary Appeals"
"1. Property Tax
2. Relief Act
3. Deduction"
"1. OAS Contributions
2. Venezuela's Reforms
3. Inter-American Charter"
"1. Battlefield
2. Study
3. Inclusion"
"1. Tax Credit
2. Census Tract
3. Low-Income Community"
"1. Veterans
2. Franchises
3. Tax Credit"
"1. Alien
2. Interpreter
3. Residence"
"1. Tax Havens
2. Outsourcing
3. Public Debt"
"1. Healthy Savings Act
2. HSAs
3. Medicare"
"1. Military Children
2. School Improvement
3. Academic Achievement"
"1. Hate Crimes Hotline
2. Law Enforcement Training
3. Victim Services"
"1. Health Care Choice Act
2. Insurance Issuer
3. State Laws"
"1. Paying a Fair Share Act
2. Tax Reform
3. Wealthy Taxpayers"
"1. Veterans Affairs
2. Military Sexual Trauma
3. Post-Traumatic Stress Disorder"
"1. Medicare
2. Remote Monitoring
3. Chronic Health Conditions"
"1. CHIP Extension and Improvement Act of 2015
2. Medicaid
3. Health Insurance"
"1. Denali National Park
2. Alaska Railroad
3. Easement"
"1. Medicare
2. Drugs
3. Wholesalers"
"1. Tariff Schedule
2. Ethene
3. Duty Suspension"
"1. Regulatory Agenda
2. Significant Regulatory Action
3. Third-Party Communication"
"1. Amends Act
2. Supplemental Appropriations
3. Retroactive Pay"
"1. DXM
2. Abuse Prevention
3. Act of 2016"
"1. College Students
2. Financial Assistance
3. Financial Literacy"
"1. Katrina
2. Tax Relief
3. Employees"
"1. Copper Salmon
2. Wilderness Act
3. Wild and Scenic Rivers"
"1. Adoptive Families
2. Foster Care
3. Adoption Support"
"1. Berry Amendment
2. Homeland Security Act
3. Procurement"
"1. Medal
2. Air Force
3. Doolittle Tokyo Raiders"
"1. Two-Midnight Rule
2. Payment Methodology
3. ICD-10 and CPT Codes"
"1. Veterans
2. Mental Health
3. Recovery"
"1. Flood Insurance Reform
2. Flood Insurance Rates
3. Flood Insurance Coverage"
"1. Code Talkers
2. Recognition Act
3. Medal"
"1. Tariff Schedule
2. Off-road Construction
3. Duty-free Treatment"
"1. Intern Protection
2. Discrimination
3. Federal Workplace"
"1. Water Pollution
2. Clean Water Act
3. Appalachia Restoration Act"
"1. Trade
2. Complaint
3. Litigation"
"1. Budget cuts
2. Discretionary spending
3. Non-defense programs"
"1. Government Shutdowns
2. Act
3. Prevention"
"1. Water Resources
2. Flood Control
3. San Antonio"
"1. North Korean Missiles
2. Iranian Missiles
3. Homeland Protection"
"1. Prohibits Funds
2. United Nations Population Fund
3. Department of State"
"1. Commercial Motor Vehicle
2. Agricultural Commodities
3. Safety Improvement Grants"
"1. NASA
2. JPL
3. Coins"
"1. Sunshine
2. Litigation
3. Act of 2011"
"1. CFPB Rule Accountability Act
2. Major/Nonmajor Rule Classification
3. Congressional Approval/Disapproval Procedure"
"1. Roosevelt Scholars Act
2. Scholarship Foundation
3. Federal Government Service"
"1. StartUp Visa Act
2. Employment-based visa
3. Entrepreneurship"
"1. Arctic Research
2. Marine Research
3. Environmental Improvement"
"1. Hearing Aid
2. Tax Credit
3. Amendment"
"1. Funding
2. Environment
3. Restoration"
"1. Pledge Language
2. English Declaration
3. Government Endorsement"
"1. Fairness to Veterans Act
2. Veteran Preference
3. Federal Contracts"
"1. Pay Adjustment
2. Performance Rating
3. Department of Defense"
"1. Protection
2. Accountability
3. Regulatory Act"
"1. James Monroe
2. Commemorative Coin Act
3. Treasury Department"
"1. Nutritional Planning
2. Discrimination
3. Community Mental Health Centers"
"1. Israel QME Act
2. Military Threats
3. Cyber Threats"
"1. Concealed Carry
2. Reciprocity Act
3. Federal Criminal Code"
"1. Rural Education
2. Community Housing
3. American Community Housing Act"
"1. Lumbee Indians
2. Federal Recognition
3. Petitions"
"1. Crime Trends
2. Schools Act
3. Reporting System"
"1. Armor Piercing Ammunition
2. Law Enforcement Armor
3. Firearms Regulation"
"1. School Nurses
2. First Responders
3. Crisis Management"
"1. Law Enforcement
2. Asset Forfeiture
3. Funding"
"1. Savings
2. Seniors
3. Social Security"
"1. ADA Amendments Act
2. Employment Discrimination
3. Rehabilitation Act"
"1. Flexibility Act
2. Employment Changes
3. Rights Protection"
"1. Immigration Courts
2. Bail Reform Act
3. Custody Determination"
"1. Student Assistance
2. Higher Education Act
3. Direct Stafford Loans"
"1. American Opportunity
2. Tax Credit
3. Higher Education"
"1. Home Office
2. Deduction
3. Simplification"
"1. Investment
2. Quality School Leadership
3. Professional Development"
"1. Biomass
2. Thermal
3. Utilization"
"1. Veterans' Education
2. Reporting Requirements
3. Enrollment Information"
"1. Historically Black Colleges and Universities
2. Katrina and Rita Relief Act of 2007
3. Strengthen"
"1. Foreign Propaganda
2. Disinformation
3. National Security"
"1. Ethanol
2. Tariffs
3. Energy"
"1. Travel
2. Cuba
3. Freedom"
"1. Puerto Rico
2. Medicare
3. Equity"
"1. Internet Freedom
2. Business Regulations
3. Export Controls"
"1. Mine Remediation
2. Environmental Protection
3. Permitting Authority"
"HEALTH
LAWSUIT
LIABILITY"
"1. Fiscal Sanity Act
2. Appropriations
3. Entitlements"
"1. Energy Exploration and Production
2. Coastal Plain Local Government Impact Aid Assistance
3. Solar Energy Development"
"1. Student Loans
2. Risk Sharing
3. Financial Aid"
"1. High School
2. College
3. Pell Grants"
"1. Oilheat
2. Biofuels
3. Renewable Energy"
"1. TARP
2. EESA
3. Federal Assistance"
"1. Smart Traffic
2. Congestion Reduction
3. Safety Improvement"
"1. Data Breach Protection
2. Federal Agency Information Security
3. Employee Exit Interviews"
"1. Tariff Schedule
2. Indoxacarb
3. Inert Ingredients"
"1. Family Justice Act
2. Juvenile Justice
3. Nonprofit Organizations"
"1. Land Transfer Act
2. Federal Land
3. Muscogee (Creek) Nation"
"1. Fairness
2. Firearm
3. Testing"
"1. Trademark Act
2. Dilution
3. Federal Registration"
"1. Trafficking Awareness
2. Health Care Training
3. Evidence-Based Best Practices"
"1. Abortion
2. Discrimination
3. Law Enforcement"
"1. Natural Disaster
2. Reconstruction
3. Environmental Review"
"1. Sale/Donation
2. Equipment/Accessories
3. Penalties"
"1. Cloud Computing
2. Information Technology
3. National Security"
"1. Federal Bonuses
2. Inspector General
3. GAO"
"1. Workforce
2. Democracy
3. Fairness"
"1. Medal of Honor
2. Civil War
3. Alonzo H. Cushing"
"1. Tariff Schedule
2. Suspension System
3. Stabilizer Bars"
"1. Veterans
2. Equity
3. Rehabilitation"
"1. Drone Aircraft
2. Privacy
3. Transparency"
"1. Kids
2. Cons Act
3. Incarcerated Students"
"1. Animal Drug User Fees
2. Generic Animal Drug User Fees
3. FDA Reporting Requirements"
"1. Fire Safety Education
2. Grants
3. Disability"
"1. Mobile
2. Tax
3. Fairness"
"1. Federal Employee Accountability Act
2. Collective Bargaining Agreement
3. Official Time"
"1. End Strength Reduction Act
2. National Security Strategy
3. Armed Forces Capabilities"
"1. Energy Policy Act
2. Diesel Emission Reductions
3. Territorial Funding"
"1. Federal Reserve Transparency Act
2. GAO Audit
3. Homeowner Loan Reviews"
"1. Nuclear Infrastructure
2. Nuclear Weapons
3. Defense Spending"
"1. Maternal Health
2. Newborn Health
3. Child Health"
"1. Law Enforcement
2. Death Penalty
3. First Responders"
"1. International Tax
2. Competitiveness Act
3. Amendments to IRC"
"1. Land Act
2. BLM Lands
3. National Forest System"
"1. Backlog of disability claims
2. Implementation of Strategic Plan
3. Priority processing of claims"
"1. Self Defense Act
2. Firearms Rights
3. Violation of Rights"
"1. Charter Schools
2. Education Reform
3. Grants"
"1. Property Conveyance
2. Appraisal
3. Federal Funds"
"1. Student Assistance
2. Electronic Payments
3. Consumer Financial Protection"
"1. Apollo 11
2. Commemorative Coin Act
3. Smithsonian Institution"
"1. Higher Education Act of 1965
2. Federal Student Aid Programs
3. Proprietary Institutions"
"1. Homeland Security
2. Secure Mail
3. Initiative Act"
"1. Energy Tax Credit
2. Qualified Energy Efficiency Property
3. American Recovery and Reinvestment Act"
"1. Lung Cancer
2. Mortality Reduction
3. Act of 2011"
"1. Tribal Tax
2. Renewable Energy
3. Incentive Act"
"1. Mental Health
2. Infrastructure
3. Grants"
"1. Tariff Schedule
2. Duty-Free Treatment
3. Printing Ink"
"1. Hospice
2. Medicare
3. PATH Act"
"1. Universal Savings Account
2. Tax Exempt
3. Contribution Limit"
"1. Conrad State 30
2. Physician Access Act
3. Immigration"
"1. Bill
2. SEC
3. Updates"
"1. UCMJ Amendment
2. Insurgent Treatment
3. Counsel Reimbursement"
"1. Homeland Security Act
2. Chemical Facilities
3. Safety Regulations"
"1. Agriculture
2. Commerce
3. Security"
"1. Iran Nuclear Agreement
2. Sanctions
3. Congressional Review"
"1. Visa Waiver Program
2. Counterterrorism
3. Homeland Security"
"1. Tariff
2. Camel Hair
3. Suspension"
"1. Bed Bugs
2. Inspections
3. Education"
"1. Medicaid
2. Children's Health Insurance
3. Medical Assistance"
"1. Fishing
2. Marketing
3. Conservation"
"1. Insurance Industry
2. Act of 2014
3. Repeal"
"1. SAVE Act
2. Exploitation
3. Advertising"
"1. Medical Rehabilitation Research
2. NCMRR
3. Funding Guidelines"
"1. Veterans Education Survey
2. Electronic Survey
3. Information Collection"
"1. Women and Workforce
2. Nontraditional Jobs
3. Grants and Apprenticeships"
"1. Disaster Relief Appropriations Act, 2013
2. Emergency Food Assistance Program
3. Corps of Engineers - Disaster"
"1. Employment Clusters
2. Industry Partnerships
3. Workforce Development"
"1. Unemployment Benefits
2. Federal Funding
3. Legislation"
"1. Energy Regulation
2. Public Protection
3. FERC Matters"
"1. Poison Center Network Act
2. Reauthorization
3. Communications and Response Capability"
"1. Tariff Schedule
2. Brass Housings
3. Duty Suspension"
"1. Food and Product Responsibility Act
2. Recall Procedures
3. Customs and Border Protection"
"1. Fairness
2. Accuracy
3. Background Checks"
"1. Fish Recovery
2. Reauthorization Act
3. Upper Colorado River"
"1. Small Business Act
2. Eligibility
3. Grants"
"1. Communications Act
2. Video Programming
3. Emergency Access"
"1. Tariff Schedule
2. Flupyram
3. Adjuvants"
"1. STEM Education
2. ARPA-ED
3. STEM Networks"
"1. Western Arctic
2. Energy Security
3. Oil and Gas"
"1. VA Scheduling
2. Accountability Act
3. Veterans Health"
"1. Indian Education
2. Language and Culture
3. School Improvement"
"1. Clean Air Act
2. Waiver
3. Emission Control"
"1. Veteran Counseling
2. Mental Health
3. Training"
"1. Formaldehyde Standards
2. Composite Wood Products
3. Regulations"
"1. Copyright
2. Marriage Equality
3. Widow/Widower"
"1. Hmong Veterans
2. Naturalization
3. Burial"
"1. National Safety Standards
2. NTSB Recommendations
3. Hours of Service"
"1. Human Trafficking
2. Air Carrier Training
3. Immunity Reporting"
"1. Small Business Contracting Program
2. Service-Disabled Veterans
3. HUBZone"
"1. Traffic Stops
2. Bias Study
3. Data Collection"
"1. Distribution
2. Promotion
3. Rights"
"1. America's FOCUS Fund
2. Youth Mentoring and STEM Education
3. Justice Reinvestment"
"1. Medicaid
2. Medicare
3. Health Programs"
"1. Public Officials Accountability Act
2. Fraud Offense
3. Undisclosed Self-Dealing"
"1. American SAFE Act of 2015
2. FBI background investigation
3. DHS certification"
"1. Risk Retention
2. Modernization
3. Act of 2010"
"1. God
2. Family
3. Country"
"1. Adoption
2. Act
3. IRA"
"1. Wounded Warriors Act
2. Temporary Disability Rating
3. Disability Compensation"
"1. Flight Crew Training
2. FAA Regulations
3. Air Carrier Standards"
"1. Wartime Fraud Act
2. Statute of Limitations
3. Presidential Proclamation"
"1. Energy Tax Credits
2. Oil and Gas Tax Subsidies
3. Clean Energy Future Act"
"1. Tribal Tax
2. Renewable Energy
3. Incentive Act"
"1. Emergency Unemployment Compensation Extension Act of 2014
2. Unemployment Compensation Extension Act of 2008"
"1. Federal Criminal Code
2. Judge's Duty
3. Crime Victims' Rights"
"1. School Food
2. Modernization Act
3. Infrastructure"
"1. Army
2. Coin
3. Heritage"
"1. Earthquake
2. Haiti
3. Health Services"
"1. Local Disaster Contracting Fairness Act
2. Debris removal
3. Demolition services"
"1. Fair Pay
2. Discrimination
3. Compensation"
"1. Geothermal Energy
2. Act
3. Development"
"1. Foreign Surveillance
2. Expedited Review Act
3. Civil Actions"
"1. Habitat Conservation
2. Tax Incentives
3. Endangered Species"
"1. Higher Education
2. Affordability
3. Pell Grant"
"1. Home Buying
2. Credit Expansion
3. Tax Credit"
"1. Naval Vessel
2. Home Port
3. Overhaul"
"1. Harmful Algal Blooms and Hypoxia
2. Research and Control Amendments Act
3. National Harmful Algal Bloom and Hyp"
"1. Homebuyer Tax Credit
2. Guarantee Act
3. First-Time Homebuyers"
"1. Worker Protection
2. Infection Control
3. Occupational Health"
"1. Energy Tax Credits
2. Alternative Fuel Vehicles
3. Carbon Dioxide Sequestration"
"1. Financial Literacy
2. Youth Act
3. Education Grants"
"1. Great Lakes
2. Restoration
3. Initiative"
"1. Postal Service
2. Delivery Act
3. Service Standards"
"1. FHA Reform Act
2. Mortgage Insurance
3. HUD Regulations"
"1. Military Base Closure
2. Defense Contractor Reduction
3. DOE Funding Reduction"
"1. Solar
2. Water-Efficient
3. Homes Act"
"1. Energy Assistance Fund
2. Low-interest loans
3. Alternative fuel vehicles"
"1. Tax Credit
2. Housing
3. Amendment"
"1. Johnson Space Center
2. Workforce Stability
3. Job Training"
"1. Poultry Producers
2. Compensation
3. Processing Plant"
"1. Tariff Schedule
2. Pepperoncini
3. Suspension of Duty"
"1. Internet Tax
2. Consumer Protection
3. Act of 2007"
"1. Prescription Drug Cost Reduction Act
2. Physician Reimbursement
3. 340B Program"
"1. SIMPLE Voting Act
2. Early Voting
3. Waiting Time"
"1. Transportation
2. Housing and Urban Development
3. Related Agencies Appropriations Act, 2013"
"1. Medical Bankruptcy
2. Fairness Act
3. Exemptions"
"1. Jane's Law
2. Evasion
3. Divorce"
"1. Asian Carp
2. Prevention Act
3. Great Lakes"
"1. Collegiate Housing
2. Infrastructure Improvement
3. Tax-Exempt Organizations"
"1. Parental Bereavement Act
2. Family and Medical Leave Act
3. Federal Employees"
"1. NIFA
2. CREATE-21 Act
3. Agricultural Research"
"1. Distracted Driving
